income_group,year,indicator_code,avg_value
High-income,2009,diab_tx_std,50.50760175
High-income,2009,htn_ctrl_crude,21.596774193548388
High-income,2009,htn_ctrl_std,21.54516129032258
High-income,2009,htn_tx_crude,48.605645161290326
High-income,2009,htn_tx_std,48.156451612903226
High-income,2010,diab_tx_crude,51.1436224516129
High-income,2010,diab_tx_std,51.20450087903226
High-income,2010,htn_ctrl_crude,22.64758064516129
High-income,2010,htn_ctrl_std,22.57177419354839
High-income,2010,htn_tx_crude,49.527419354838706
High-income,2010,htn_tx_std,49.002419354838715
High-income,2011,diab_tx_crude,51.884962104838706
High-income,2011,diab_tx_std,51.89565552419354
High-income,2011,htn_ctrl_crude,23.64516129032258
High-income,2011,htn_ctrl_std,23.53467741935484
High-income,2011,htn_tx_crude,50.37096774193548
High-income,2011,htn_tx_std,49.755645161290325
High-income,2012,diab_tx_crude,52.62538004032258
High-income,2012,diab_tx_std,52.575070370967744
High-income,2012,htn_ctrl_crude,24.593548387096774
High-income,2012,htn_ctrl_std,24.445967741935487
High-income,2012,htn_tx_crude,51.14274193548387
High-income,2012,htn_tx_std,50.416935483870965
High-income,2013,diab_tx_crude,53.35805133064516
High-income,2013,diab_tx_std,53.23518054838709
High-income,2013,htn_ctrl_crude,25.475
High-income,2013,htn_ctrl_std,25.28306451612903
High-income,2013,htn_tx_crude,51.818548387096776
High-income,2013,htn_tx_std,50.983870967741936
High-income,2014,diab_tx_crude,54.07093985483871
High-income,2014,diab_tx_std,53.87004955645162
High-income,2014,htn_ctrl_crude,26.28790322580645
High-income,2014,htn_ctrl_std,26.038709677419355
High-income,2014,htn_tx_crude,52.425
High-income,2014,htn_tx_std,51.45967741935484
High-income,2015,diab_tx_crude,54.75269387903226
High-income,2015,diab_tx_std,54.47567441935484
High-income,2015,htn_ctrl_crude,27.019354838709678
High-income,2015,htn_ctrl_std,26.708064516129035
High-income,2015,htn_tx_crude,52.961290322580645
High-income,2015,htn_tx_std,51.855645161290326
High-income,2016,diab_tx_crude,55.40647688709677
High-income,2016,diab_tx_std,55.049405951612904
High-income,2016,htn_ctrl_crude,27.713709677419356
High-income,2016,htn_ctrl_std,27.338709677419356
High-income,2016,htn_tx_crude,53.472580645161294
High-income,2016,htn_tx_std,52.21935483870968
High-income,2017,diab_tx_crude,56.04004188709678
High-income,2017,diab_tx_std,55.59530785483871
High-income,2017,htn_ctrl_crude,28.33467741935484
High-income,2017,htn_ctrl_std,27.893548387096775
High-income,2017,htn_tx_crude,53.90887096774193
High-income,2017,htn_tx_std,52.49354838709677
High-income,2018,diab_tx_crude,56.64921791935484
High-income,2018,diab_tx_std,56.11897913709678
High-income,2018,htn_ctrl_crude,29.00725806451613
High-income,2018,htn_ctrl_std,28.48467741935484
High-income,2018,htn_tx_crude,54.346774193548384
High-income,2018,htn_tx_std,52.76451612903226
High-income,2019,diab_tx_crude,57.245506709677414
High-income,2019,diab_tx_std,56.62547574193549
High-income,2019,htn_ctrl_crude,29.716129032258067
High-income,2019,htn_ctrl_std,29.104032258064517
High-income,2019,htn_tx_crude,54.77903225806452
High-income,2019,htn_tx_std,53.020161290322584
High-income,2020,diab_tx_crude,57.83913212096774
High-income,2020,diab_tx_std,57.11804905645161
High-income,2021,diab_tx_crude,58.38568225806451
High-income,2021,diab_tx_std,57.59734913709677
High-income,2022,diab_tx_crude,58.8988610967742
High-income,2022,diab_tx_std,58.058960887096774
Low-income,1990,diab_tx_crude,17.435884446
Low-income,1990,diab_tx_std,18.056702127999998
