who_region,year,indicator_code,avg_value
African,1990,diab_tx_crude,16.591638126595743
African,1990,diab_tx_std,17.189523124468085
African,1990,htn_ctrl_crude,2.230851063829787
African,1990,htn_ctrl_std,2.176595744680851
African,1990,htn_tx_crude,9.079787234042554
African,1990,htn_tx_std,9.36595744680851
African,1991,diab_tx_crude,16.60902849574468
African,1991,diab_tx_std,17.24772184787234
African,1991,htn_ctrl_crude,2.222340425531915
African,1991,htn_ctrl_std,2.171276595744681
African,1991,htn_tx_crude,9.282978723404256
African,1991,htn_tx_std,9.604255319148935
African,1992,diab_tx_crude,16.6396480106383
African,1992,diab_tx_std,17.316637279787233
African,1992,htn_ctrl_crude,2.2361702127659573
African,1992,htn_ctrl_std,2.1872340425531913
African,1992,htn_tx_crude,9.51808510638298
African,1992,htn_tx_std,9.880851063829788
African,1993,diab_tx_crude,16.68182267978723
African,1993,diab_tx_std,17.39592133404255
African,1993,htn_ctrl_crude,2.2670212765957447
African,1993,htn_ctrl_std,2.221276595744681
African,1993,htn_tx_crude,9.77659574468085
African,1993,htn_tx_std,10.174468085106383
African,1994,diab_tx_crude,16.727765658510638
African,1994,diab_tx_std,17.48388523297872
African,1994,htn_ctrl_crude,2.318085106382979
African,1994,htn_ctrl_std,2.2861702127659576
African,1994,htn_tx_crude,10.074468085106384
African,1994,htn_tx_std,10.50744680851064
African,1995,diab_tx_crude,16.777138467021278
African,1995,diab_tx_std,17.579798223404257
African,1995,htn_ctrl_crude,2.3946808510638298
African,1995,htn_ctrl_std,2.3659574468085105
African,1995,htn_tx_crude,10.38404255319149
African,1995,htn_tx_std,10.856382978723405
African,1996,diab_tx_crude,16.83945099787234
African,1996,diab_tx_std,17.682492278723405
African,1996,htn_ctrl_crude,2.484042553191489
African,1996,htn_ctrl_std,2.4680851063829787
African,1996,htn_tx_crude,10.73191489361702
African,1996,htn_tx_std,11.240425531914893
African,1997,diab_tx_crude,16.910372769148935
African,1997,diab_tx_std,17.79163430212766
African,1997,htn_ctrl_crude,2.6021276595744682
African,1997,htn_ctrl_std,2.5914893617021275
African,1997,htn_tx_crude,11.101063829787234
African,1997,htn_tx_std,11.657446808510638
African,1998,diab_tx_crude,16.980208879787234
African,1998,diab_tx_std,17.90618760425532
African,1998,htn_ctrl_crude,2.730851063829787
African,1998,htn_ctrl_std,2.725531914893617
African,1998,htn_tx_crude,11.50531914893617
African,1998,htn_tx_std,12.106382978723405
African,1999,diab_tx_crude,17.05495795744681
African,1999,diab_tx_std,18.026609274468086
African,1999,htn_ctrl_crude,2.8808510638297875
African,1999,htn_ctrl_std,2.8861702127659576
African,1999,htn_tx_crude,11.935106382978724
African,1999,htn_tx_std,12.582978723404254
African,2000,diab_tx_crude,17.137809892553193
African,2000,diab_tx_std,18.151364637234042
African,2000,htn_ctrl_crude,3.0425531914893615
African,2000,htn_ctrl_std,3.0638297872340425
African,2000,htn_tx_crude,12.393617021276595
African,2000,htn_tx_std,13.093617021276595
African,2001,diab_tx_crude,17.22762939574468
African,2001,diab_tx_std,18.282217078723402
African,2001,htn_ctrl_crude,3.234042553191489
African,2001,htn_ctrl_std,3.2585106382978726
African,2001,htn_tx_crude,12.892553191489363
African,2001,htn_tx_std,13.636170212765958
African,2002,diab_tx_crude,17.322310828723406
African,2002,diab_tx_std,18.41798940425532
African,2002,htn_ctrl_crude,3.4414893617021276
African,2002,htn_ctrl_std,3.484042553191489
African,2002,htn_tx_crude,13.42127659574468
African,2002,htn_tx_std,14.22659574468085
African,2003,diab_tx_crude,17.421815929787233
African,2003,diab_tx_std,18.55934154468085
African,2003,htn_ctrl_crude,3.673404255319149
African,2003,htn_ctrl_std,3.721276595744681
African,2003,htn_tx_crude,13.986170212765957
African,2003,htn_tx_std,14.859574468085105
African,2004,diab_tx_crude,17.527002168085108
African,2004,diab_tx_std,18.705004061702127
African,2004,htn_ctrl_crude,3.929787234042553
African,2004,htn_ctrl_std,4.001063829787234
African,2004,htn_tx_crude,14.574468085106384
African,2004,htn_tx_std,15.511702127659573
African,2005,diab_tx_crude,17.63743905106383
African,2005,diab_tx_std,18.853031817021275
African,2005,htn_ctrl_crude,4.214893617021277
African,2005,htn_ctrl_std,4.3
African,2005,htn_tx_crude,15.185106382978724
African,2005,htn_tx_std,16.18936170212766
African,2006,diab_tx_crude,17.748053634042552
African,2006,diab_tx_std,19.000911877659576
African,2006,htn_ctrl_crude,4.507446808510638
African,2006,htn_ctrl_std,4.617021276595745
African,2006,htn_tx_crude,15.801063829787234
African,2006,htn_tx_std,16.875531914893617
African,2007,diab_tx_crude,17.858899234042553
African,2007,diab_tx_std,19.149549039361702
African,2007,htn_ctrl_crude,4.834042553191489
African,2007,htn_ctrl_std,4.967021276595744
African,2007,htn_tx_crude,16.42659574468085
African,2007,htn_tx_std,17.57127659574468
